Name,Faction,Supertype,Type,Subtypes,Text,Font_Size,Name_Font_Size,Unique,Cost,Power,Break,Presence1,Presence2,Ammo,front,back,Art,Illustrator,X_pos,Y_pos,zoom,starter_id,Set,Number,Flavor
Card Catalog,Ghost,,Asset,,"When your turn begins, you may discard a card from your hand. If you do, draw a card.",0.9,,,,,,,,,,,ItemsCards_42_b.png,REXARD,,400%,105%,,c1,1,The Eternal Court’s long imprisonment gave them ample time to organize their archives.
Haunted Barrel,Ghost,,Asset,Curse,"When this asset enters play, choose a cannon. It gets -1 power.",,,,,,,,,,,,ItemsCards_43_b.png,REXARD,,,105%,,c1,2,“I can’t explain it. The powder must be damp or something…”
Leaky Kegs,Ghost,,Asset,Curse,"When your turn begins, your opponent loses 1(P).",,,TRUE,,,,,,,,,SGI_73.png,REXARD,,-45%,,,c1,3,Maybe someone’s stealing it from the engine room. Maybe it’s just disappearing into thin air.
Mortal Frailty,Ghost,,Asset,Curse,"When this asset enters play, choose a crew. It gets -2 presence. 

When the chosen crew leaves play, return this asset to its captain's hand.",,,,,,,,,,,,SGI_30.PNG,REXARD,,,,,c1,4,
King Adarath,Ghost,,Captain,,"Whenever you raid or repel, you may spend 1(P) to put a crew from your discard pile into play facedown as a 2/2 Shade crew, in reserve.",0.8,,,,,,,,,,,FantasyCardsPack_049.png,REXARD,,,,,c1,5,
Queen Valii,Ghost,,Captain,,"Whenever you breach, you may spend 1(P) to put a crew discarded by the damage into play facedown as a 2/2 Shade crew under your control.",0.8,,,,,,,,,,,FantasyCardsPack_035.PNG,REXARD,,,,,c1,6,
Adarath's Hound,Ghost,,Crew,,"Whenever this crew boards, choose a crew the defending player controls. It cannot be committed to the defending party.",,,,,,,2,2,,,,FantasyCardsPack_002.png,REXARD,,-47%,,,c1,7,
Breathstealer,Ghost,,Crew,,"**(T):** Choose a crew in your opponent’s party. Until the attempt ends, that crew gets -2 presence and is discarded if its presence is 0.",,,,,,,2,1,,,,FantasyCardsPack_024.png,REXARD,,,,,c1,8,
Court Jester,Ghost,,Crew,,"When this crew enters play, choose one. Your opponent chooses the other:

* Gain 2(P).
* Draw two cards.",,,,,,,2,3,,,,FantasyCardsPack_006.png,REXARD,,-94%,,,c1,9,
Eldeghast,Ghost,,Crew,,This crew cannot be stowed from play.,,,TRUE,,,,1,1,,,,Tex_skeleton_bg.png,REXARD,,,,,c1,10,"He served the Eternal Court when the world was young, and its ending did not shake his loyalty."
Imposing Spectre,Ghost,,Crew,Shade,"As long as you control a Curse, your opponent must spend 1(P) more to board.",,,,,,,1,3,,,,FantasyCardsPack_019.png,REXARD,,,,,c1,11,You should have never come this far.
Peekaboo,Ghost,Tactic,Crew,Shade,"*(Play only during a boarding attempt).*

Whenever this crew raids, choose an asset the defending player controls. Turn it facedown and it becomes a 2/2 Shade crew.",,,,,,,2,2,,,,imp.png,REXARD,,,,,c1,12,
Phantom Duelist,Ghost,,Crew,Shade,"Whenever you play a Tactic card or use a Tactic effect, if this crew is in your party, it gets +1 presence until the attempt ends.",,,,,,,2,2,,,,Tex_ghost_bg.png,REXARD,,,,,c1,13,
Restless Dead,Ghost,,Crew,,"**(T):** While defending, deal 1 damage to the boarding player and **pass**. Use any number of times per attempt.",,,,,,,1,3,,,,FantasyCardsPack_022.PNG,REXARD,,,,,c1,14,
Seneschal Kaine,Ghost,,Crew,Shade,"Reveal a Ghost card from your hand as an additional cost to play this crew.

When this crew enters play, you may play a maneuver from your discard pile. If you do, eject that card after it resolves.",,,TRUE,,,,1,2,,,,Ghost.png,REXARD,,,,,c1,15,
Valii's Conduit,Ghost,,Crew,,"When this crew enters play, all cannons get +1 cost until your next turn begins.",,,,,,,4,0,,,,FantasyCardsPack_020.PNG,REXARD,,,,,c1,16,The arcane fields that power their weapons have a dampening effect on lesser technologies.
Arc Caster,Ghost,,Emplacement,Cannon,**(A):** Swap this cannon's cost and power until the turn ends.,,,,3,2,3,,,,,,G_Arc Caster.jpg,Trevor Gannicott,,100%,,,c1,17,These spectres have forgotten more about weaponcraft than we will ever know.
Coilgun,Ghost,,Emplacement,Cannon,"Whenever this cannon unstuns, deal 1 damage to your opponent.",,,,2,2,2,,,,,,G_Coilgun.jpg,Trevor Gannicott,,70%,,,c1,18,"Fiendish potential, forever crackling."
Coldsteel Plating,Ghost,,Emplacement,Structure,"*React -* Whenever you are dealt damage, reduce it by 1 and put a counter on this structure.

This structure gets -1 durability for each counter on it. When it has 0 durability, break it.",,,,,,5,,,,,,ice_hut.png,REXARD,,,,,c1,19,
Ectoplasmic Lens,Ghost,,Emplacement,Structure,"**(A), return a crew you control to its captain’s hand:** Draw a card, then discard a card from your hand. Use only once each turn.

When this structure breaks, search your Hold for a Curse, reveal it, and put it into your hand.",0.8,,,,,3,,,,,,LootCard_116.png,REXARD,,-190%,108%,,c1,20,
Geistlaser,Ghost,,Emplacement,Cannon,"**(A), discard X crew you control:** Put X counters on this cannon.

This cannon gets +1 power for each counter on it.",,,,8,0,5,,,,,,G_Geistlaser.jpg,Trevor Gannicott,,122%,,,c1,21,
Soul Crypt,Ghost,,Emplacement,Structure,"Whenever you draw a card during your turn, you may spend 1(P) to put it into play facedown as a 2/2 Shade crew. Use only once each turn.

When this structure breaks, search your Hold for a Curse, reveal it, and put it into your hand.",0.8,,,,,2,,,,,,SGI_60.png,REXARD,,,,,c1,22,
Supercharger,Ghost,,Emplacement,Structure,"Cannons you control get +1 cost.

The first time each cannon you control unstuns each turn, gain 2(P).

When this structure breaks, search your Hold for a Curse, reveal it, and put it into your hand.",0.8,,,,,4,,,,,,ItemsCards_14_b.png,REXARD,,-430%,106%,,c1,23,
Armored Rush,Ghost,,Maneuver,,"**Board,** choosing this card as your raid token. 

If you raid, shuffle four Shields into your Hold and eject this card.",,,,,,,,,,,,SGI_78.png,REXARD,,,,,c1,24,
Consume Spirit,Ghost,,Maneuver,,"Discard any number of Shades you control. Gain 2(P) for each Shade discarded this way.",,,,,,,,,,,,LootCard_67.png,REXARD,,350%,106%,,c1,25,
Delve the Atheneum,Ghost,,Maneuver,,"Spend (A) as an additional cost to play this maneuver.

Shuffle any number of cards from your hand into your Hold. Draw that many cards plus one. Gain 3(P).",,,,,,,,,,,,goblin_s_dwelling.png,REXARD,,,,,c1,26,
Polterheist,Ghost,,Maneuver,,"**Board,** choosing this card as your raid token.

If you raid, put the top two cards of the defending player’s Hold into play facedown as 2/2 Shade crew under your control, in reserve.",,,,,,,,,,,,skeleton.png,REXARD,,,,,c1,27,
Rip Soul,Ghost,Tactic,Maneuver,,Choose a crew in your opponent’s party. Turn it facedown and it becomes a 2/2 Shade crew.,,,,,,,,,,,,Ice_fish.PNG,REXARD,,,,,c1,28,
Summon Shade,Ghost,Tactic,Maneuver,,Put the top card of your Hold into play facedown as a 2/2 Shade crew. Move it to reserve when the attempt ends.,,,,,,,,,,,,ma (75).png,REXARD,,,,,c1,29,
Twilight Pulse,Ghost,,Maneuver,,"Spend 2(P) as an additional cost to play this maneuver.

Turn all crew in play facedown. They each become a 2/2 Shade crew. ",,,,,,,,,,,,FantasyCardsPack_010.png,REXARD,,,,,c1,30,
Expunger,Ghost,,Special Ammo,,"*React -* Whenever this cannon would resolve damage, eject that many cards from the top of your opponent’s Hold instead.",,,,,,,,,1,,,LootCard_61.png,REXARD,33%,275%,108%,,c1,31,
Soulcharged Munitions,Ghost,,Special Ammo,,"As long as the total presence of crew you control is greater than the total presence of crew your opponent controls, this cannon gets +2 power.",,,,,,,,,2,,,LootCard_19.png,REXARD,33%,200%,108%,,c1,32,
Shade,Ghost,,Token,Crew|Shade,*You may cover a facedown card with this card as a reminder.*,,,,,,,2,2,,,,fantom.PNG,REXARD,,,,,c1,33,
Ablative Shield,Imperial,,Asset,,"Security Set. *(Limit 1 Set per deck).*

*React -* Whenever you are dealt damage, you may eject this asset to reduce it by 3.",,,,,,,,,,,,SGI_addons_169.PNG,REXARD,,,,,c1,34,
Extra Rations,Imperial,,Asset,,"This asset enters play with three counters on it. When it runs out, discard it.

When your turn begins, remove a counter from this asset and you may draw two cards.",,,,,,,,,,,,FantasyCardsPack_029.png,REXARD,,,,,c1,35,
Extractor,Imperial,,Asset,,"**(A), return a crew you control to its captain’s hand:** Gain 2(P). Use only once each turn.",,,,,,,,,,,,Invisibility.png,REXARD,,,,,c1,36,Imperial citizens are not permitted excess personal possessions.
Brass,Imperial,,Captain,,**(A):** Choose a cannon you control. It gets +1 cost and +2 power until the turn ends. Use only once each turn.,,,,,,,,,,,,Adventurer.png,REXARD,,,,B,c1,37,
Harmony,Imperial,,Captain,,"Whenever you raid or repel, you may spend 1(P) to stow a maneuver from your discard pile.",,,,,,,,,,,,FantasyCardsPack_039.png,REXARD,,,,H,c1,38,
Clarity,Imperial,,Crew,,"Whenever you spend (A) to use an action on a card, if you’ve spent exactly 3(A) to use actions on cards this turn, gain (A).",,,TRUE,,,,1,1,,,,Tex_h_mage_female_bg.png,REXARD,,,,,c1,39,“Always keep your eyes on the bigger picture.”
Frontliner,Imperial,,Crew,,"Whenever this crew raids or repels, gain 1(P).",,,,,,,3,2,,,,Tex_h_scout_male_bg.png,REXARD,,46%,,H,c1,40,Securing the spoils of war for glory and Empire.
Gunnery Officer,Imperial,,Crew,,"When this crew enters play, cannons you control get +1 power until the turn ends.",,,,,,,1,3,,,,Tex_elf_sentinel_female_bg.png,REXARD,,,,B,c1,41,“Let me show you how it’s done.”
Musketeer,Imperial,,Crew,,"**(T), 1(P):** While defending, stow a crew with 3 or less presence in the boarding party.",,,,,,,2,3,,,,Tex_drow_warrior_female_bg.png,REXARD,,65%,,B,c1,42,The crack of an Imperial rifle is the sound of a fight ending before it started.
Pike,Imperial,,Crew,,"Reveal an Imperial card from your hand as an additional cost to play this crew.

Whenever this crew raids, if you chose the Repair raid token, draw up to three cards.",,,TRUE,,,,1,5,,,,FantasyCardsPack_057.png,REXARD,,,,,c1,43,
Skilled Operators,Imperial,,Crew,,"When this crew enters play, put a 1/1 Deckhand crew token into play, then you may use the Operate action on a card you control, reducing the cost by (A).",0.9,,,,,,1,1,,,,Tex_h_mage_male_bg.png,REXARD,,51%,,,c1,44,
Skipper,Imperial,Tactic,Crew,,"*(Play only during a boarding attempt).*

**(T):** Return this crew to its captain’s hand and **pass**.",,,,,,,2,2,,,,naga.png,REXARD,,,,,c1,45,
Swordsman,Imperial,,Crew,,"Conquest Set. *(Limit 1 Set per deck).*

As long as your opponent’s party has two or more crew, this crew gets +2 presence.",,,,,,,2,2,,,,Tex_drow_warrior_male_bg.png,REXARD,,38%,,H,c1,46,“They’ve got us outnumbered? Then it’s a fair fight.”
3-Pounder,Imperial,,Emplacement,Cannon,,,,,1,1,3,,,,,,I_3-Pounder.jpg,Trevor Gannicott,,,,,c1,47,"A common sight on Imperial gunships, favored for its ease of deployment."
Autoloader,Imperial,,Emplacement,Structure,"**(A):** Operate 1. Search your Hold for a special ammo, then play it.

When this structure breaks, stow a special ammo from your discard pile for each operator it has.",,,,,,3,,,,,,SGI_113.PNG,REXARD,,95%,,,c1,48,
Carapace,Imperial,,Emplacement,Structure,"Security Set. *(Limit 1 Set per deck).*

Whenever you defend, you may spend 1(P) to deal 2 damage to boarding player.",,,,,,2,,,,,,shell_house.png,REXARD,,-1100%,,B,c1,49,
Hullpiercer,Imperial,,Emplacement,Structure,"Conquest Set. *(Limit 1 Set per deck).*

Whenever you board, you may spend 1(P) to deal 2 damage to the defending player.",,,,,,2,,,,,,SGI_17.png,REXARD,,156%,,,c1,50,
Mongoose,Imperial,,Emplacement,Cannon,This cannon gets +1 power for each other stunned cannon you control.,,,,2,2,3,,,,,,I_Mongoose.jpg,Trevor Gannicott,,,,,c1,51,The last one’s a doozy.
Salty Karla,Imperial,,Emplacement,Cannon,"**(A):** Operate 1.

This cannon gets -1 cost for each operator it has.",,,,5,4,4,,,,,,I_Salty Karla.jpg,Trevor Gannicott,,,,,c1,52,"It’s not magic, it’s an army of skilled hands working in concert."
Warmonger,Imperial,,Emplacement,Cannon,"Whenever you raid, this cannon gets -1 cost and +1 power until the turn ends.",,,,3,3,4,,,,,,I_Warmonger.jpg,Trevor Gannicott,,,,,c1,53,Just try to not hit the boarding party.
Broadside,Imperial,,Maneuver,,"Spend (A) as an additional cost to play this maneuver.

During your cannon phase this turn, you may fire each unstunned cannon you control.",,,,,,,,,,,,telekinesis.png,REXARD,,,,B,c1,54,
Buying Time,Imperial,,Maneuver,,"**Board**, spending 2(P) less. You must choose the Repair raid token.",,,,,,,,,,,,LootCard_63.png,REXARD,,265%,110%,H,c1,55,"""How long do you need?"""
Falsified Orders,Imperial,Tactic,Maneuver,,Stow a crew in your opponent’s party. Its captain draws a card.,,,,,,,,,,,,wizard.png,REXARD,,,,H,c1,56,"""Says here I'm supposed to go do inventory, sir."""
Guard the Hold,Imperial,Tactic,Maneuver,,"Security Set. *(Limit 1 Set per deck).*

While defending, choose two:

* Put a 1/1 Deckhand crew token into play.
* Choose a crew in a party. Move it to reserve.
* Shuffle three Shields into your Hold. Eject this card.",,,,,,,,,,,,ItemsCards_33_b.png,REXARD,,-1500%,,,c1,57,
Proliferate,Imperial,,Maneuver,,"Spend (A) as an additional cost to play this maneuver.

Gain 5(P).",,,,,,,,,,,,LootCard_39.png,REXARD,,320%,106%,,c1,58,The Empire has so much to offer its citizens. Is a little obedience really so much to ask in return?
Requisition,Imperial,,Maneuver,,"Choose one:

* Search the top five cards of your Hold for an asset, then play it.
* Shuffle three Shields into your Hold. Eject this card.",,,,,,,,,,,,LootCard_54.png,REXARD,,320%,106%,,c1,59,
Resupply,Imperial,,Maneuver,,"Choose up to one asset, crew, and special ammo card from your discard pile. Put one on top of your Hold and stow the rest. Eject this card.",,,,,,,,,,,,SGI_13.png,REXARD,,,,B,c1,60,
Skirmish,Imperial,Tactic,Maneuver,,"Conquest Set. *(Limit 1 Set per deck).*

While boarding, choose two:

* Search the top three cards of your Hold for a crew, then play it.
* Choose a crew in reserve. Move it to the attempt.
* Choose a crew. It gets +1 presence until the attempt ends.",0.65,,,,,,,,,,,ItemsCards_25_b.png,REXARD,,-1690%,,H,c1,61,
Tighten Chains,Imperial,Tactic,Maneuver,,Players cannot play Tactic cards until the attempt ends.,,,,,,,,,,,,ItemsCards_35_b.png,REXARD,,-1900%,,,c1,62,Nobody move.
Battering Volley,Imperial,,Special Ammo,,"This cannon gets +1 power.

Whenever this cannon breaches, your opponent discards an asset they control.",,,,,,,,,2,,,LootCard_13.png,REXARD,33%,275%,108%,,c1,63,
Scrapshot,Imperial,,Special Ammo,,"Whenever this cannon breaches, your opponent discards three crew they control with 1 or less presence.",,,,,,,,,1,,,SGI_addons_183.png,REXARD,,,,B,c1,64,
Torpedo,Imperial,,Special Ammo,,"This cannon gets +1 power.

This cannon’s damage discards cards from the bottom of your opponent’s Hold.",,,,,,,,,2,,,LootCard_93.png,REXARD,33%,275%,108%,,c1,65,
Big Mouth,Neutral,,Crew,,"**(T):** While boarding, choose a crew the defending player controls. Move it to the attempt.",1,,,,,,3,2,,,,ma (47).png,REXARD,,,,H,c1,66,
Deadwind Mercenary,Neutral,,Crew,,,,,,,,,3,4,,,,Tex_h_warrior_male_bg.png,REXARD,,35%,,,c1,67,"Pay them on time, and they'll get the job done."
Fisher,Neutral,,Crew,,"When this crew enters play, draw a card.",,,,,,,1,1,,,,Fisher.png,REXARD,,,,,c1,68,Ask about the catch of the day!
Galeth of Cloudreach,Neutral,,Crew,,,,,TRUE,,,,-,6,,,,swordsman.png,REXARD,,,,B,c1,69,None shall pass.
Hedge Mage,Neutral,,Crew,,"When this crew enters play, gain 1(P).",,,,,,,1,1,,,,Tex_Forest_Keeper_bg.png,REXARD,,,,,c1,70,There are still those among the isles with some small magical skill.
Sapper,Neutral,,Crew,,"Whenever this crew raids, shuffle a Bomb into your opponent’s Hold.",,,,,,,2,2,,,,kobold.png,REXARD,,,,,c1,71,"""Don't let that sneaky one anywhere near the hold! Push them back!"""
Seasoned Mentor,Neutral,,Crew,,"When this crew enters play, put a 1/1 Deckhand crew token into play.",,,,,,,2,2,,,,FantasyCardsPack_009.png,REXARD,,,,,c1,72,"""Someone's gotta show you the ropes, kid."""
Smelly Pete,Neutral,,Crew,,"When this crew enters play, stow another crew you control.

Whenever this crew boards, stow a crew the defending player controls.",0.9,,TRUE,,,,1,2,,,,ghoul.png,REXARD,,,,C,c1,73,
Big Daryl,Neutral,,Emplacement,Cannon,,,,,4,4,5,,,,,,N_BigDarrel.jpg,Trevor Gannicott,,,,,c1,74,Any questions?
Crow's Foot,Neutral,,Emplacement,Cannon,,,,,2,2,3,,,,,,N_Crows Foot.jpg,Trevor Gannicott,,82%,,B,c1,75,Ka-kaw!
Medbay,Neutral,,Emplacement,Structure,"Whenever one or more crew are discarded from your Hold, you may store one of them on this structure. If you do, discard all previously stored crew.

**(A), 1(P):** Play a crew stored on this structure.",,,,,,3,,,,,,Barracks.png,REXARD,,-1840%,,H,c1,76,
Palisade,Neutral,,Emplacement,Structure,"*React -* Whenever you are dealt damage, you may break this structure to reduce that damage to 0.",,,,,,3,,,,,,archery_yard.png,REXARD,,,,,c1,77,Sacrificial bulkheads have proven time and time again to be one of the most effective answers to cannon fire.
All Hands on Deck!,Neutral,Tactic,Maneuver,,"Search the top four cards of your Hold for a crew, then play it.",,,,,,,,,,,,star_fire.png,REXARD,,,,,c1,78,The work goes quickly when everyone pitches in.
Evasive Maneuvers,Neutral,,Maneuver,,"You cannot board this turn.

Until your next turn begins, whenever you deal or are dealt cannon damage, reduce it by 3.",1,,,,,,,,,,,SGI_42.png,REXARD,,,,,c1,79,
Go for the Captain,Neutral,,Maneuver,,"**Board,** choosing this card as your raid token.

If you raid, reveal the defending player’s hand. Choose a card from it. The defending player discards that card. You may draw a card.",,,,,,,,,,,,FantasyCardsPack_028.png,REXARD,,,,,c1,80,
Lucky Catch,Neutral,,Maneuver,,Return a card from your discard pile to your hand.,,,,,,,,,,,,spear.png,REXARD,,,,,c1,81,Going overboard isn't so bad unless you miss the catchnet.
Powder Cache,Neutral,,Maneuver,,Gain 3(P).,,,,,,,,,,,,ItemsCards_68_b.png,REXARD,,-1800%,,,c1,82,"What's left of the world runs on compressed orbs of wizard dust, collected from the air and then burned for its prodigious energy output."
Prepare for War,Neutral,,Maneuver,,Shuffle four Shields into your Hold. Eject this card.,,,,,,,,,,,,FantasyCardsPack_055.png,REXARD,,-375%,,,c1,83,There’s no such thing as being too prepared when the cannons start firing.
Smash,Neutral,Tactic,Maneuver,,"While boarding, choose one:

* Discard an asset the defending player controls.
* Eject up to two cards from the defending player’s discard pile.",,,,,,,,,,,,ItemsCards_105_b.png,REXARD,,,,,c1,84,
Boarding,Neutral,,Reference,,"**INITIATE**
<hr />
* Spend 3(P).
* Place a raid token on an unbroken emplacement (structures first).
* Commit crew to your party.
* Defending player commits crew to their party.

**BATTLE**
<hr />
Starting with the defending player, alternate until consecutive pass:

* (T): Play a Tactic card.
* (T): Use a Tactic effect (noncrew or a crew in your party, once each).
* (T): Pass.

**RESOLVE**
<hr />
* Compare presence for Raid/Repel.
* If Raid: check for break.
* Stow both parties.
* Attacker action phase ends.",0.7,,,,,,,,,,,mana_storm.png,REXARD,,,,,c1,85,
Player Turn,Neutral,,Reference,,"**Start Phase**

* Your turn begins.
* Draw a card.

**Action Phase** (3(A))

* (A): Draw a card.
* (A): Gain 1(P).
* (A): Play a card.
* (A): Board *(spending 3(P))*.

**Cannon Phase**

* If your cannons are all stunned, unstun them.
* Otherwise, you may fire an unstunned cannon.

**End Phase**

* Stow down to hand size.
* Your turn ends.",0.8,,,,,,,,,,,desert.png,REXARD,,,,,c1,86,
Ice Bomb,Neutral,,Special Ammo,,"When you load this special ammo, stun the loaded cannon.

Whenever this cannon breaches, shuffle a Bomb into your opponent's Hold.",,,,,,,,,1,,,warpstone.png,REXARD,,170%,,,c1,87,
Bomb,Neutral,,Status,,"If you draw or discard this card, it deals 3 damage to you and ejects.",,,,,,,,,,,,LootCard_114.png,REXARD,,103%,110%,,c1,88,
